iter	Logloss	Accuracy
307	0.4159292209	0.8462916226
308	0.4154326766	0.8465358626
309	0.4149616108	0.8470243426
310	0.4144924887	0.8475942359
311	0.4140436221	0.8479198893
312	0.4135712605	0.8480827159
313	0.4130150026	0.8481641293
314	0.412612444	0.848571196
315	0.4121712098	0.849303916
316	0.4117165648	0.8494667427
317	0.4112922714	0.8498738093
318	0.4108103778	0.8508507694
319	0.410301263	0.8509321827
320	0.4098795853	0.8515834894
321	0.4094164944	0.8518277294
322	0.4090169708	0.8519905561
323	0.4086744944	0.8522347961
324	0.408301787	0.8523162094
325	0.407858701	0.8530489294
326	0.4074689696	0.8536188228
327	0.4070229856	0.8544329561
328	0.4069313786	0.8543515428
329	0.4063834313	0.8547586095
330	0.4060780779	0.8546771961
331	0.4055908032	0.8551656761
332	0.4053589093	0.8553285028
333	0.4048548973	0.8557355695
334	0.4044098598	0.8563054628
335	0.4040230919	0.8571195962
336	0.4035648027	0.8580151429
337	0.4031828809	0.8587478629
338	0.4026152807	0.8594805829
339	0.4022288787	0.8601318896
340	0.4018606297	0.8599690629
341	0.4015704833	0.8605389563
342	0.4010637394	0.860701783
343	0.4006043422	0.861434503
344	0.4002470886	0.8615159163
345	0.3999491363	0.8615159163
346	0.399542526	0.8618415696
347	0.3991607839	0.862411463
348	0.3989169396	0.8628185297
349	0.3985430248	0.8630627697
350	0.3981842723	0.8635512497
351	0.3977726711	0.8635512497
352	0.3973463487	0.8635512497
353	0.3969571112	0.8639583164
354	0.3966451305	0.8640397297
355	0.3962104203	0.8644467964
356	0.3959185137	0.8644467964
357	0.3954812343	0.8645282097
358	0.3951079051	0.8645282097
359	0.3949974116	0.8646096231
360	0.3945132444	0.8653423431
361	0.3941417197	0.8652609297
362	0.3937506934	0.8658308231
363	0.3933596955	0.8661564764
364	0.3927763575	0.8664007164
365	0.3922816133	0.8665635431
366	0.3918474293	0.8675405031
367	0.391537717	0.8678661565
368	0.3911648992	0.8680289831
369	0.390794497	0.8681918098
370	0.3904496447	0.8681918098
371	0.3900039148	0.8694130099
372	0.3896475385	0.8694130099
373	0.3893292456	0.8695758365
374	0.3888333649	0.8700643165
375	0.3883859887	0.8703085565
376	0.3880506866	0.8710412766
377	0.3877558022	0.8714483432
378	0.3874059027	0.8715297566
379	0.3870549477	0.8716111699
380	0.3867546629	0.8717739966
381	0.3862300077	0.8721810633
382	0.3858033774	0.8722624766
383	0.3852977101	0.8730766099
384	0.3849768635	0.8727509566
385	0.3844897705	0.8734022633
386	0.3841406399	0.87356509
387	0.3837497029	0.8743792233
388	0.3834847488	0.8743792233
389	0.3832968293	0.8744606367
390	0.3830866852	0.8746234633
391	0.3827684293	0.87478629
392	0.3823705713	0.8751119433
393	0.3819762241	0.8760889034
394	0.3814448516	0.8766587967
395	0.3809115237	0.8776357567
396	0.3803251492	0.8783684768
397	0.3799186492	0.8795082635
398	0.3794002599	0.8805666368
399	0.3789466718	0.8804038101
400	0.3784977526	0.8808108768
401	0.3781472966	0.8806480502
402	0.3777659736	0.8808922902
403	0.37732747	0.8806480502
404	0.376907625	0.8811365302
405	0.3764433771	0.8813807702
406	0.3761502911	0.8821949035
407	0.3758436332	0.8826019702
408	0.375340968	0.8826833835
409	0.3749599027	0.8834161036
410	0.3746250491	0.8833346902
411	0.374301277	0.8830090369
412	0.3740189986	0.8832532769
413	0.3735140894	0.8835789302
414	0.3731897276	0.8842302369
415	0.3726992174	0.8843930636
416	0.3723031357	0.8843116502
417	0.3719773744	0.8845558903
418	0.3714478595	0.8849629569
419	0.370973835	0.8845558903
420	0.3704973408	0.8850443703
421	0.3701257937	0.8846373036
422	0.3697269189	0.8853700236
423	0.3693607349	0.885939917
424	0.3689675045	0.8861027436
425	0.3685705495	0.886184157
426	0.3682138988	0.8869982903
427	0.3678471161	0.887161117
428	0.3674745175	0.8872425303
429	0.3671503812	0.8877310103
430	0.3669308835	0.887649597
431	0.3665793414	0.887893837
432	0.3663057751	0.8882194904
433	0.3659165233	0.8894406904
434	0.3655552124	0.8894406904
435	0.3653152509	0.8897663437
436	0.3649827081	0.8897663437
437	0.3646649534	0.8902548237
438	0.3642321179	0.8905804771
439	0.3639306013	0.8912317838
440	0.3636896767	0.8912317838
441	0.3634226406	0.8915574371
442	0.3630880949	0.8913131971
443	0.3627264264	0.8914760238
444	0.3623731292	0.8918016771
445	0.3620426322	0.8918016771
446	0.3617296283	0.8920459171
447	0.361293335	0.8926158105
448	0.3609876991	0.8931042905
449	0.3607326212	0.8927786371
450	0.3603518889	0.8923715705
451	0.3600454536	0.8930228771
452	0.3597693281	0.8930228771
453	0.359329894	0.8939184238
454	0.3590225432	0.8944069039
455	0.3587621453	0.8947325572
456	0.3584525978	0.8950582105
457	0.3580626485	0.8954652772
458	0.3577177318	0.8957095172
459	0.3574165175	0.8961165839
460	0.3573518479	0.8961165839
461	0.3569627376	0.8967678906
462	0.3565566651	0.8971749573
463	0.3562447403	0.8980705039
464	0.3559483137	0.898314744
465	0.3555715666	0.8979076773
466	0.3552156026	0.8979890906
467	0.3549133735	0.8981519173
468	0.3546306917	0.8979890906
469	0.3543184029	0.898558984
470	0.3539937228	0.8987218106
471	0.3535047571	0.8996987707
472	0.353137254	0.9004314907
473	0.3528271679	0.9003500773
474	0.3524857003	0.900512904
475	0.3521468411	0.9005943173
476	0.3518774371	0.9009199707
477	0.3515837032	0.9008385574
478	0.3512555208	0.9006757307
479	0.350997651	0.9013270374
480	0.3506011663	0.9015712774
481	0.350164152	0.9018155174
482	0.3498213461	0.9021411707
483	0.3494821661	0.9023039974
484	0.3491981474	0.9024668241
485	0.3487567195	0.9031181307
486	0.3484457886	0.9029553041
487	0.3480897665	0.9032809574
488	0.3478287697	0.9036066108
489	0.3474280935	0.9038508508
490	0.347143996	0.9036066108
491	0.3469674734	0.9038508508
492	0.3465832448	0.9045835708
493	0.3462974611	0.9049906375
494	0.3460185337	0.9048278108
495	0.3456366106	0.9051534641
496	0.3454215515	0.9053977041
497	0.3449885877	0.9053162908
498	0.344645744	0.9058861842
499	0.3443566187	0.9064560775
500	0.3441591368	0.9064560775
501	0.3439189145	0.9065374908
502	0.3435910864	0.9062118375
503	0.3432353241	0.9066189042
504	0.3430165802	0.9072702109
505	0.3425595481	0.9075144509
506	0.3422590114	0.9080843442
507	0.3419289936	0.9082471709
508	0.3414512962	0.9084914109
509	0.3412099239	0.9086542376
510	0.34088583	0.9092241309
511	0.3406049935	0.9089798909
512	0.3401817734	0.9093869576
513	0.3398462047	0.9102010909
514	0.3395463405	0.9107709843
515	0.3392005018	0.910689571
516	0.3388920472	0.9110152243
517	0.3385989108	0.911178051
518	0.338289059	0.911422291
519	0.3379876833	0.9110966376
520	0.3376756011	0.9115037043
521	0.3373586929	0.9118293576
522	0.3371064545	0.9122364243
523	0.3370499415	0.9122364243
524	0.3367334818	0.912399251
525	0.336453427	0.9125620777
526	0.3362722119	0.9124806643
527	0.3360535939	0.9122364243
528	0.3357058824	0.9124806643
529	0.3353534671	0.913131971
530	0.3350709994	0.9134576244
531	0.3347280984	0.914108931
532	0.3343695936	0.9147602377
533	0.3340928268	0.9150044777
534	0.3336795104	0.9149230644
535	0.3333989309	0.9151673044
536	0.3330698502	0.9150858911
537	0.3326309527	0.9156557844
538	0.3323076277	0.9154115444
539	0.3320493575	0.9158186111
540	0.3317953638	0.9158186111
541	0.3315283979	0.9163070911
542	0.331428044	0.9161442644
543	0.3311241195	0.9163070911
544	0.3307666112	0.9166327444
545	0.3304496655	0.9167955711
546	0.3301719293	0.9172840511
547	0.3298223767	0.9176911178
548	0.32946997	0.9178539445
549	0.3291003753	0.9186680778
550	0.3287830134	0.9185052512
551	0.3283720369	0.9185052512
552	0.3280375226	0.9189937312
553	0.3277381486	0.9195636245
554	0.3275163728	0.9197264512
555	0.3270274896	0.9201335179
556	0.3266074644	0.9200521045
557	0.3262632759	0.9204591712
558	0.3259513049	0.9204591712
559	0.3256912353	0.9210290646
560	0.325345057	0.9213547179
561	0.3250019292	0.9215989579
562	0.3247400734	0.9216803712
563	0.3244671676	0.9221688513
564	0.3241874434	0.9220874379
565	0.3239888507	0.9222502646
566	0.3236155284	0.9228201579
567	0.3233240791	0.9228201579
568	0.3230810639	0.9228201579
569	0.3226721811	0.923308638
570	0.3222300948	0.924041358
571	0.3219416913	0.9242041846
572	0.3216500888	0.925018318
573	0.3212722684	0.924774078
574	0.3209548908	0.925018318
575	0.3206952044	0.9250997313
576	0.3203210146	0.9254253847
577	0.3200489823	0.9259138647
578	0.31968384	0.926239518
579	0.3193499946	0.9266465847
580	0.3191983805	0.9271350647
581	0.3188006478	0.9272978914
582	0.3184511627	0.9277863714
583	0.3182417861	0.9278677847
584	0.317914316	0.9279491981
585	0.3176467286	0.9284376781
586	0.3172949111	0.9284376781
587	0.3169932785	0.9285190914
588	0.3169252796	0.9286005048
589	0.3165993075	0.9290075714
590	0.3162347552	0.9292518114
591	0.3157937445	0.9293332248
592	0.3153806755	0.9299845315
593	0.3150166095	0.9300659448
594	0.3146176282	0.9307986648
595	0.3144568593	0.9307986648
596	0.3140851437	0.9307986648
597	0.3137525362	0.9310429048
598	0.3135085909	0.9308800782
599	0.3132157035	0.9312057315
600	0.3129562832	0.9314499715
